data_version,target,location,date,quantil,type,value
2021-03-14,7 day R,DE,21.02.2021,NA,point,"1,05"
2021-03-14,7 day R,DE,22.02.2021,NA,point,"1,04"
2021-03-14,7 day R,DE,23.02.2021,NA,point,"1,02"
2021-03-14,7 day R,DE,24.02.2021,NA,point,"1,01"
2021-03-14,7 day R,DE,25.02.2021,NA,point,"1,01"
2021-03-14,7 day R,DE,26.02.2021,NA,point,"1,00"
2021-03-14,7 day R,DE,27.02.2021,NA,point,"1,00"
2021-03-14,7 day R,DE,28.02.2021,NA,point,"1,01"
2021-03-14,7 day R,DE,01.03.2021,NA,point,"1,02"
2021-03-14,7 day R,DE,02.03.2021,NA,point,"1,03"
2021-03-14,7 day R,DE,03.03.2021,NA,point,"1,05"
2021-03-14,7 day R,DE,04.03.2021,NA,point,"1,05"
2021-03-14,7 day R,DE,05.03.2021,NA,point,"1,07"
2021-03-14,7 day R,DE,06.03.2021,NA,point,"1,09"
2021-03-14,7 day R,DE,07.03.2021,NA,point,"1,12"
2021-03-14,7 day R,DE,08.03.2021,NA,point,"1,16"
2021-03-14,7 day R,DE,09.03.2021,NA,point,"1,19"
2021-03-14,7 day R,DE,06.03.2020,0.025,quantil,"2,28"
2021-03-14,7 day R,DE,07.03.2020,0.025,quantil,"2,51"
2021-03-14,7 day R,DE,08.03.2020,0.025,quantil,"2,88"
2021-03-14,7 day R,DE,09.03.2020,0.025,quantil,"3,08"
2021-03-14,7 day R,DE,10.03.2020,0.025,quantil,"3,18"
2021-03-14,7 day R,DE,11.03.2020,0.025,quantil,"3,08"
2021-03-14,7 day R,DE,12.03.2020,0.025,quantil,"2,82"
2021-03-14,7 day R,DE,13.03.2020,0.025,quantil,"2,48"
2021-03-14,7 day R,DE,14.03.2020,0.025,quantil,"2,17"
2021-03-14,7 day R,DE,15.03.2020,0.025,quantil,"1,98"
2021-03-14,7 day R,DE,16.03.2020,0.025,quantil,"1,73"
2021-03-14,7 day R,DE,17.03.2020,0.025,quantil,"1,55"
2021-03-14,7 day R,DE,18.03.2020,0.025,quantil,"1,39"
2021-03-14,7 day R,DE,19.03.2020,0.025,quantil,"1,23"
2021-03-14,7 day R,DE,20.03.2020,0.025,quantil,"1,13"
2021-03-14,7 day R,DE,21.03.2020,0.025,quantil,"1,03"
2021-03-14,7 day R,DE,22.03.2020,0.025,quantil,"0,97"
2021-03-14,7 day R,DE,23.03.2020,0.025,quantil,"0,92"
2021-03-14,7 day R,DE,24.03.2020,0.025,quantil,"0,89"
2021-03-14,7 day R,DE,25.03.2020,0.025,quantil,"0,89"
2021-03-14,7 day R,DE,26.03.2020,0.025,quantil,"0,88"
2021-03-14,7 day R,DE,27.03.2020,0.025,quantil,"0,89"
